lat,lng,distrito,precio_usd,area_m2,dormitorios,banos,antiguedad_anios
-12.1160233,-77.03108089999999,Miraflores,650,46,1,1,7
-12.0713026,-77.0578187,Pueblo Libre,623,50,1,1,10
-12.1338491,-76.9782434,Santiago de Surco,830,100,3,2,10
-11.9303924,-77.0357361,Comas,301,74,3,2,7
-12.0886757,-77.0248684,Lince,1350,100,3,2,5
-12.123849,-77.0329219,Miraflores,1000,85,2,2,10
-12.11185356428061,-77.05078665672949,Miraflores,1500,110,2,1,9
-12.026027,-77.0749395,San Martin de Porres,1150,150,2,2,5
-12.0769521,-77.048365,Jesus Maria,899,80,3,2,3
-12.1402795,-77.0229251,Barranco,650,64,1,1,5
-12.0859398,-77.0957501,San Miguel,660,78,3,2,7
-12.1656532,-76.9929593,Chorrillos,493,89,2,2,2
-12.1270783,-77.0267614,Miraflores,1000,78,3,2,10
-12.0850927,-77.0494398,Jesus Maria,580,48,1,1,1
-12.1288008,-77.0267267,Miraflores,470,25,0,1,15
-12.0941641,-77.0590991,Magdalena del Mar,900,130,3,2,6
-12.0979193,-77.0558779,San Isidro,595,40,1,1,1
-12.1131881,-77.038049,Miraflores,2000,160,3,3,10
-12.103731,-77.0591111,San Isidro,652,40,1,1,9
-12.128227825073855,-77.03472767686006,Miraflores,2200,143,2,2,14
-12.0871587,-77.0625537,Magdalena del Mar,667,40,1,1,3
-12.1721362,-76.9710449,San Juan de Miraflores,850,110,2,3,10
-12.1131468,-77.0380373,Miraflores,1500,120,2,2,15
-12.1219632,-77.0215783,Miraflores,824,68,2,1,10
-12.1288008,-77.0267267,Miraflores,938,62,2,2,10
-12.1356514,-77.0229249,Barranco,670,42,1,1,4
-12.0929169,-77.0325545,San Isidro,980,63,2,2,4
-12.0958367,-77.0447285,San Isidro,3000,253,3,2,15
-12.1352106,-77.0255068,Miraflores,1188,85,1,1,9
-12.0915212,-77.0827865,San Miguel,667,49,2,2,3
-12.1148223,-77.0401207,Miraflores,860,105,2,3,3
-12.0946251,-77.0508119,San Isidro,2300,265,3,3,6
-12.0900364,-77.0577696,Jesus Maria,1050,118,2,3,14
-12.1313008,-77.0296323,Miraflores,2500,140,2,8,8
-12.0190245,-77.0614275,San Martin de Porres,290,110,2,1,2
-12.0905376,-77.0081454,San Borja,754,60,2,1,25
-12.0761112,-77.0806206,San Miguel,464,35,0,1,8
-12.0737848,-77.0785487,San Miguel,783,80,3,2,11
-12.126830166048688,-77.03226189734497,Miraflores,986,140,2,3,40
-12.0475081,-77.0545394,Cercado de Lima,551,65,3,2,6
-12.0969854,-77.0320453,San Isidro,802,46,1,1,9
-12.0647645,-77.0389234,Cercado de Lima,754,63,2,2,3
-12.0796933,-76.9603589,La Molina,1900,250,3,3,7
-12.1403067,-77.02209479999999,Barranco,900,56,1,2,5
-12.1083007,-77.041466,Miraflores,1100,105,3,2,40
-12.095595369965388,-77.05049760852887,San Isidro,1400,128,3,2,5
-12.1386437,-77.02504629999999,Barranco,780,54,1,1,1
-12.1666955,-76.991683,Chorrillos,319,50,1,2,3
-12.0443974,-76.9546746,Ate,217,45,1,1,15
-12.0947685079,-77.0596282957,Magdalena del Mar,790,60,2,2,8
-12.1721362,-76.9710449,San Juan de Miraflores,1200,125,2,2,9
-12.1325177,-77.0226925,Miraflores,1450,121,2,2,10
-12.0798558,-77.0820816,San Miguel,522,46,1,1,1
-12.069379,-77.0349,Cercado de Lima,487,56,3,1,7
-12.1022087,-77.0571884,San Isidro,850,100,2,1,10
-12.1237997,-77.0348612,Miraflores,980,85,2,2,11
-12.0905162,-77.0712353,Magdalena del Mar,712,80,3,2,8
-12.1219632,-77.0215783,Miraflores,1100,62,2,2,10
-12.0694256,-77.0445279,Jesus Maria,700,120,3,2,10
-12.0109353,-77.0704112,San Martin de Porres,696,82,3,2,20
-12.0953023,-77.02981,San Isidro,910,46,1,1,9
-12.1099869,-77.0496178,Miraflores,1205,120,3,2,4
-12.1137317,-76.9405179,La Molina,667,130,3,3,10
-12.0761112,-77.0806206,San Miguel,478,40,0,1,8
-12.1477455,-76.9904021,Santiago de Surco,1050,98,3,1,45
-12.0971361,-77.0324766,San Isidro,803,45,1,1,1
-12.1176934,-77.02759420000001,Miraflores,1050,65,2,2,1
-12.3416667,-76.8252778,Punta Hermosa,845,96,3,3,16
-12.1270783,-77.0267614,Miraflores,1000,85,2,2,5
-12.1293354,-77.0335214,Miraflores,1150,135,3,2,2
-12.1158981,-77.0331271,Miraflores,900,82,2,2,15
-12.0946817,-77.0326603,San Isidro,2200,200,2,2,6
-12.1072991,-76.9896811,Santiago de Surco,2900,310,4,5,10
-12.1016231,-77.0380637,San Isidro,2500,200,3,3,10
-12.0883247,-76.9633404,La Molina,4000,582,4,5,9
-12.124164087864768,-77.03773238490295,Miraflores,2200,186,3,2,5
-12.1330598,-77.0263293,Miraflores,2500,215,3,4,9
-12.0997587,-77.0362967,San Isidro,2000,158,2,2,9
-12.0782412,-76.95934129999999,La Molina,3500,400,4,4,6
-12.131285899999998,-76.97804099999999,Santiago de Surco,2000,200,3,2,12
-12.0998079,-77.0377714,San Isidro,3200,180,3,2,12
-12.1411624,-77.0256814,Barranco,2200,362,4,4,12
-12.125127,-77.0337893,Miraflores,2100,230,3,3,9
-12.1113551,-77.0409461,Miraflores,2300,160,3,3,8
-12.0959211,-77.0493116,San Isidro,2500,215,3,3,9
-12.1270985,-77.0255199,Miraflores,2300,160,3,2,5
-12.1117484,-77.0494303,Miraflores,2200,211,2,2,10
-12.0883247,-76.9633404,La Molina,2500,290,3,2,19
-12.108049567438188,-77.04038556085203,Miraflores,1650,175,3,2,30
-12.1292811,-77.0281308,Miraflores,1050,80,1,1,10
-12.1402107,-77.0244897,Barranco,865,84,2,2,2
-12.1225062,-77.0208304,Miraflores,795,53,1,1,10
-12.0929502,-77.0270383,San Isidro,850,75,2,2,2
