id,title,price_usd,precio_m2,m2,lat,lng,address,distrito,dormitorios,banos,cocheras,antiguedad_anios,construction_state,property_type,url
187163286,Departamento en Venta en Magdalena,219627.0,2614.6,84,-12.101956,-77.0612649,,,3,2,1,0,A estrenar,Departamento,/departamento-en-venta-en-magdalena/187163286
187132323,Venta de Departamento en San Borja,311503.1,2396.2,130,-12.1033978,-76.9802192,,,3,3,0,0,Buen estado,Departamento,/venta-de-departamento-en-san-borja/187132323
187110831,Hermoso dpto. con vista a parque en San Isidro,688000.0,2708.7,254,-12.0958363,-77.0447454,,,3,2,2,0,Buen estado,Departamento,/hermoso-dpto-con-vista-a-parque-en-san-isidro/187110831
187170010,Venta de Departamento en Santiago De Surco,632740.66,2088.3,303,-12.0853364,-76.9617996,,,4,3,2,0,Buen estado,Departamento,/venta-de-departamento-en-santiago-de-surco/187170010
187168115,Departamento en Venta en San Isidro,480000.0,2513.1,191,-12.0971829,-77.032585,,,3,2,2,0,Buen estado,Departamento,/departamento-en-venta-en-san-isidro/187168115
187162428,"LINDO DPTO. EN VENTA , CONSTRUCTORA A1",126372.21,1755.2,72,-12.0724036,-77.0362388,,,3,2,0,0,A estrenar,Departamento,/lindo-dpto-en-venta-constructora-a1/187162428
187245243,DEPARTAMENTO 4 DORMITORIOS SAN BORJA,156220.68,1562.2,100,-12.1087225,-77.0039062,,,4,2,0,0,Buen estado,Departamento,/departamento-4-dormitorios-san-borja/187245243
187166376,VENDO LINDO DUPLEX  EN PROYECTO ENTREGA ENERO/2021,230000.0,2090.9,110,-12.1271278004678,-76.9927860576721,,,3,3,2,0,A estrenar,Departamento,/vendo-lindo-duplex-en-proyecto-entrega-enero2021/187166376
187173608,Departamento tipo casita en Venta super acabados,599000.0,1804.2,332,-12.078873998014,-76.9599009175373,,,4,3,2,0,Buen estado,Departamento,/departamento-tipo-casita-en-venta-super-acabados/187173608
187250609,Venta de Departamento en Miraflores,714295.01,3946.4,181,-12.131229,-77.0361901,,,2,3,2,0,Buen estado,Departamento,/venta-de-departamento-en-miraflores/187250609
187164025,VENDO LINDO DEPARTAMENTO,107137.83,1428.5,75,-12.1697578,-76.9908433,,,3,2,0,0,A estrenar,Departamento,/vendo-lindo-departamento/187164025
187529641,"A 1 cdra de Malecón, balcón, ascensor directo, fino, x Estrenarse",235000.0,2136.4,110,-12.113641617588014,-77.04819202423097,,,3,2,0,0,A estrenar,Departamento,/a-1-cdra-de-malecon-balcon-ascensor-directo-fino-x-estrenarse/187529641
